Symbol,Name,Sector,Price/Book,PEG Ratio,Foward PE,Trailing PE,Total Debt/Equity,EV/EBITDA
GLW,Corning,Information Technology,2.427248,1.89,14.725663,15.479069,64.756,10.029
CTVA,Corteva,Materials,1.8352697,1.41,20.403847,32.151516,11.374,13.673
COST,Costco,Consumer Staples,10.318458,3.01,29.79319,36.617958,52.821,22.567
CTRA,Coterra,Energy,1.6069759,0.62,6.0849056,4.6823955,21.2,3.403
CCI,Crown Castle,Real Estate,7.740499,3.25,36.314816,36.80161,361.61,22.008
CSX,CSX,Industrials,5.1674957,1.39,16.4,16.574469,140.107,11.567
CMI,Cummins,Industrials,4.136109,1.67,12.469812,18.30082,91.04,13.202
CVS,CVS Health,Health Care,1.8825697,2.16,11.420994,42.696205,100.086,9.709
DHI,D. R. Horton,Consumer Discretionary,1.4879771,-0.84,8.3994,5.0823746,30.968,4.353
DHR,Danaher Corporation,Health Care,4.2621713,4.31,25.416668,29.25579,43.085,19.861
DRI,Darden Restaurants,Consumer Discretionary,8.478338,2.11,16.534721,19.841667,288.799,15.865
DVA,DaVita,Health Care,12.488159,1.4,11.035874,10.986608,580.674,9.192
DE,Deere & Co.,Industrials,6.497406,1.28,14.741003,18.82517,254.944,14.876
DAL,Delta Air Lines,Industrials,4.9930477,-0.52,7.3435583,276.23077,695.773,10.367
XRAY,Dentsply Sirona,Health Care,1.7909826,4.01,16.188171,18.937107,60.127,10.191
DVN,Devon Energy,Energy,3.8574433,0.24,7.173378,6.736344,61.188,4.86
DXCM,DexCom,Health Care,24.731161,4.43,108.17593,243.39584,116.865,107.547
FANG,Diamondback Energy,Energy,1.7535335,0.2,5.4628463,5.6114497,38.192,4.359
DLR,Digital Realty Trust,Real Estate,1.9020879,-1.94,88.565575,22.141394,90.303,23.902
DFS,Discover Financial Services,Financials,2.1450994,0.12,7.4619255,6.7448053,141.236,
DISCA,Discovery (Series A),Communication Services,,,,,,
DISCK,Discovery (Series C),Communication Services,,,,,,
DISH,Dish Network,Communication Services,0.45136502,-0.19,9.89726,4.832776,126.799,9.535
DG,Dollar General,Consumer Discretionary,9.005357,2.01,19.81033,23.87646,269.747,18.139
DLTR,Dollar Tree,Consumer Discretionary,3.878271,0.99,18.459288,20.40647,125.107,14.228
D,Dominion Energy,Utilities,1.8111999,2.3,13.641686,27.219625,155.633,13.218
DPZ,Domino's Pizza,Consumer Discretionary,,3.57,26.066336,29.90769,,23.568
DOV,Dover Corporation,Industrials,4.9149027,1.6,15.68687,17.362734,90.983,14.239
DOW,Dow,Materials,1.9830633,-1.1,11.575964,6.486658,79.226,4.919
DTE,DTE Energy,Utilities,2.4998922,2.31,18.509584,20.11632,221.934,15.858
DUK,Duke Energy,Utilities,1.5995862,3.05,17.726631,20.387424,141.697,12.812
DRE,Duke Realty Corp,Real Estate,2.9438713,6.23,48.68687,19.435484,61.937,32.445
DD,DuPont,Materials,1.3953534,1.25,14.163968,22.072556,48.273,10.945
DXC,DXC Technology,Information Technology,1.3862027,0.58,6.0325375,9.7578945,111.71,3.483
EMN,Eastman Chemical,Materials,1.8960102,4.3,10.266586,9.4356985,96.25,6.86
ETN,Eaton Corporation,Industrials,3.9059947,2.09,19.1517,27.637478,58.716,19.52
EBAY,eBay,Consumer Discretionary,4.8593206,2.03,10.224057,2.3434966,171.069,9.998
ECL,Ecolab,Materials,5.986046,3.74,29.80522,37.86479,126.246,18.916
EIX,Edison International,Utilities,1.8793588,3.23,13.782881,34.747368,184.242,11.414
EW,Edwards Lifesciences,Health Care,7.1996408,2.82,28.565216,30.493671,11.046,25.097
EA,Electronic Arts,Communication Services,4.526271,1.71,16.230574,38.261265,28.52,19.591
LLY,Eli Lilly & Co,Health Care,32.943596,2.48,40.18975,55.419548,157.797,35.587
EMR,Emerson Electric Company,Industrials,5.3837376,,20.37797,17.439926,66.597,15.752
ENPH,Enphase Energy,Information Technology,68.982185,1.99,58.32957,135.25328,214.642,113.193
ETR,Entergy,Utilities,1.9694855,2.93,17.319527,19.006495,222.389,13.942
EOG,EOG Resources,Energy,3.146607,0.88,8.352287,10.030613,22.303,5.807
EFX,Equifax,Industrials,6.318908,2.81,25.268229,33.749565,155.792,17.925
EQIX,Equinix,Real Estate,5.698274,3.31,76.8311,89.90445,143.656,31.781
